"Fecha_Ocurrencia","Codigo_Accidente","Direccion","Barrio","Vehiculos Involucrados","Heridos","Accidente con","Muertes","Clase de Accidente"
"2024 Jan 03 12:00:00 AM","A001602262","CALLE 14A CARRERA 34   BACHUE","BACHUE","2","2","HERIDOS","0","CHOQUE"
"2024 Jan 06 12:00:00 AM","A001602263","CALLE 14 CARRERA  28   SAN JOSÉ","SAN JOSÉ","2","3","HERIDOS","0","CHOQUE"
"2024 Jan 09 12:00:00 AM","A001602264","KILOMETRO 7+800 MTS","No registra","1","1","HERIDOS","0","CHOQUE"
"2024 Jan 12 12:00:00 AM","A001602265","AVENIDA 23 N. 24 - 07   LA TIZA","LA TIZA","2","2","HERIDOS","0","CHOQUE"
"2024 Jan 12 12:00:00 AM","A001602266","KILOMETRO 3+500 MTS VIA CHICHIMENE ESTACION ACACIAS","No registra","2","1","HERIDOS","0","CHOQUE"
"2024 Jan 15 12:00:00 AM","A001602267","CALLE 13 N.22+48  -  COOPERATIVO","COOPERATIVO","1","1","HERIDOS","0","CHOQUE"
"2024 Jan 17 12:00:00 AM","A001602268","CALLE 18 N 21-56 -  MANCERA","MANCERA","2","1","HERIDOS","0","CHOQUE"
"2024 Jan 27 12:00:00 AM","A001602270","CALLE 10 N 23 -01  -  DORADO","DORADO","2","1","HERIDOS","0","CHOQUE"
"2021 Jan 26 12:00:00 AM","A001602269","DIAGONAL 15 CARRERA 31 - VILLA DEL SOL  VEREDA","No registra","1","0","MUERTOS","1","CHOQUE"
"2024 Feb 07 12:00:00 AM","A001602271","AVENIDA 23 CARRERA  27 -","No registra","2","1","HERIDOS","0","CHOQUE"
"2024 Feb 12 12:00:00 AM","A001602273","CALLE 11 CARRERA 23  -  DORADO","DORADO","2","1","HERIDOS","0","CHOQUE"
"2024 Feb 12 12:00:00 AM","A001602272","AVENIDA 23 N. 5A-93 -  PABLO EMILIO RIVEROS","PABLO EMILIO RIVEROS","2","1","HERIDOS","0","CHOQUE"
"2024 Feb 14 12:00:00 AM","A001602274","CALLE 18 CARRERA 14 -  SAN CRISTOBAL LOMA DE TIGRE","SAN CRISTOBAL","2","3","HERIDOS","0","CHOQUE"
"2024 Feb 15 12:00:00 AM","A001602275","KILOMETRO 1+200 MTS   -","No registra","2","1","HERIDOS","0","CHOQUE"
"2024 Feb 15 12:00:00 AM","A001602276","CARRERA 23 N.17 -76  -  MANCERA","MANCERA","2","3","HERIDOS","0","CHOQUE"
"2024 Feb 18 12:00:00 AM","A001602278","CALLE 18 N-4-01  -  POPULAR","POPULAR","2","1","HERIDOS","0","CHOQUE"
"2024 Feb 18 12:00:00 AM","A001602277","CARRERA 23 N.16A-35  -  EL BOSQUE","EL BOSQUE","2","2","HERIDOS","0","CHOQUE"
"2024 Feb 20 12:00:00 AM","A001602279","CALLE 12 CARRERA 26 -  DORADO","DORADO","2","1","HERIDOS","0","CHOQUE"
"2024 Feb 21 12:00:00 AM","A001602280","CALLE 15 CARRERA 33 -","No registra","2","1","HERIDOS","0","CHOQUE"
"2024 Feb 22 12:00:00 AM","A001602281","KILOMETRO 3 VIA ANTIGUA GUAMAL  -","No registra","1","0","MUERTOS","1","CHOQUE"
"2024 Feb 24 12:00:00 AM","A001602282","CALLE 17 CARRERA 6 -  POPULAR","POPULAR","2","3","HERIDOS","NO APLICA","CHOQUE"
"2024 Feb 27 12:00:00 AM","C-001587577","KILOMETRO 57+100 MTS VIA GRANADA -VILLAVICENCIO  -","No registra","2","0","MUERTOS","2","CHOQUE"
"2024 Mar 03 12:00:00 AM","A0001602263","KILOMETRO KM 7 VIA ANTIGUA GUAMAL  -","No registra","2","2","HERIDOS","NO APLICA","CHOQUE"
"2024 Mar 05 12:00:00 AM","A0001602284","CALLE 15 CARRERA 47 -  COLINAS EL ROSARIO","COLINAS","2","1","HERIDOS","NO APLICA","CHOQUE"
"2024 Mar 11 12:00:00 AM","A0001602285","CARRERA 33 CALLE  14A -  BACHUE","BACHUE","2","3","HERIDOS","NO APLICA","CHOQUE"
"2024 Mar 23 12:00:00 AM","A001602286","CALLE 13 N 19-70  -","No registra","1","1","MUERTOS","1","ATROPELLO"
"2024 Mar 29 12:00:00 AM","A0001651928","KILOMETRO 0+400 MTS VIA ANTIGUA GUAMAL  -","No registra","2","2","HERIDOS","NO APLICA","CHOQUE"
"2024 Mar 27 12:00:00 AM","A0001602287","AVENIDA 23 CARRERA 27A -  VILLA LUCIA","VILLA LUCIA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2024 Mar 30 12:00:00 AM","A0001651929","CALLE 18 N 9-50  -  POPULAR","POPULAR","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2024 Apr 10 12:00:00 AM","A0001651930","CALLE 14 CARRERA 41 -  COMCAJA RANCHO GRANDE","COMCAJA","2","2","HERIDOS","NO APLICA","CHOQUE"
"2024 Apr 10 12:00:00 AM","A0001651931","KILOMETRO 1 VIA ACACIAS -VILLAVICENCIO  -  VILLA MANUELA","VILLA MANUELA","2","3","HERIDOS","NO APLICA","CHOQUE"
"2024 Apr 11 12:00:00 AM","A001651932","CALLE 11 CRA 31 -  SAMAN BRISAS DEL GUAYURIBA","SAMAN","3","2","HERIDOS","NO APLICA","CHOQUE"
"2024 Apr 11 12:00:00 AM","A001651933","CALLE 19 N.22A  -  SIN INFORMACIÓN DEL BARRIO RANCHO GRANDE","SIN INFORMACIÓN DEL BARRIO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2024 Apr 14 12:00:00 AM","A001651934","CARRERA 15 6A -77  -  MALECÓN TURISTICO","MALECÓN TURISTICO","2","3","HERIDOS","NO APLICA","CHOQUE"
"2024 Apr 19 12:00:00 AM","A001651935","CALLE 20 CARRERA 49 -  COLINAS","COLINAS","2","1","HERIDOS","NO APLICA","CHOQUE"
"2024 Apr 21 12:00:00 AM","A001651936","CALLE 13 CARRERA 18 -  CENTRO","CENTRO","2","3","HERIDOS","NO APLICA","CHOQUE"
"2024 Apr 25 12:00:00 AM","A001651937","CALLE 14 CARRERA 12 -  JUAN MELLAO","JUAN MELLAO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2024 Apr 27 12:00:00 AM","A001651938","CALLE 12 CARRERA 25 -  DORADO BAJO","DORADO BAJO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2024 Apr 28 12:00:00 AM","A001651939","CARRERA 36 N. 9-82  -  INDEPENDENCIA","INDEPENDENCIA","1","2","HERIDOS","NO APLICA","ATROPELLO"
"2024 Apr 29 12:00:00 AM","A001651940","CALLE 15 CARRERA 22 -  COOPERATIVO","COOPERATIVO","3","2","HERIDOS","NO APLICA","CHOQUE"
"2024 May 06 12:00:00 AM","A001651941","CALLE 19 CARRERA 18A -  MANCERA","MANCERA","2","2","HERIDOS","NO APLICA","CHOQUE"
"2024 May 07 12:00:00 AM","A001651942","CARRERA 31 CALLE  16C -  BACHUE","BACHUE","2","3","HERIDOS","NO APLICA","CHOQUE"
"2024 May 11 12:00:00 AM","A001651943","CALLE 15 N.21-76  -  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2024 May 22 12:00:00 AM","A001651944","DIAGONAL 15 CARRERA 30 -  ASOCIACIÓN DE AMIGOS","ASOCIACIÓN DE AMIGOS","2","1","HERIDOS","NO APLICA","CHOQUE"
"2024 May 22 12:00:00 AM","A001651945","KILOMETRO 1 VIA VEREDA ESMERALDA  -","No registra","1","1","HERIDOS","NO APLICA","CHOQUE"
"2024 May 26 12:00:00 AM","A001651946","DIAGONAL 15 CARRERA 41 - VILLA AURORA","No registra","2","3","HERIDOS","NO APLICA","CHOQUE"
"2024 May 26 12:00:00 AM","A001651947","KILOMETRO 26 + 645  -  VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","1","1","HERIDOS","NO APLICA","CHOQUE"
"2024 May 27 12:00:00 AM","A001651948","KILOMETRO 19 VIA VAQUEROS CLUB -","No registra","3","0","MUERTOS","1","CHOQUE"
"2024 Jun 01 12:00:00 AM","A001651949","KILOMETRO 2+200 MTS  VIA  ACACIAS  ANTIGUA GUAMAL -  VÍA ANTIGUA GUAMAL","VÍA ANTIGUA GUAMAL","2","1","HERIDOS","NO APLICA","CHOQUE"
"2024 Jun 08 12:00:00 AM","A001651952","KILOMETRO 00+900 MTS VIA ANTIGUA  GUAMAL -","No registra","2","1","HERIDOS","NO APLICA","CHOQUE"
"2024 Jun 09 12:00:00 AM","A001651951","CALLE 13 CARRERA 21 -  COOPERATIVO","COOPERATIVO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2024 Jun 07 12:00:00 AM","A001651952","CARRERA 23 CALLE 5 -  PABLO EMILIO RIVEROS","PABLO EMILIO RIVEROS","2","2","HERIDOS","NO APLICA","CHOQUE"
"2024 Jun 16 12:00:00 AM","A001651953","CALLE 14 CARRERA 45A -  CIMARRON","CIMARRON","1","0","MUERTOS","1","CHOQUE"
"2024 Jun 19 12:00:00 AM","A001651954","KILOMETRO 26+500 MTS VIA VILLAVICENCIO  GRANADA -","No registra","2","0","MUERTOS","1","CHOQUE"
"2024 Jun 20 12:00:00 AM","A001651955","CARRERA 23 +18-35   -  MANCERA ESMERALDA","MANCERA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2024 Jun 20 12:00:00 AM","A001651956","CALLE 14 CARRERA 26 -  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2024 Jun 21 12:00:00 AM","A001651957","CALLE 20 48  -  BRISAS DE LA COLINA","BRISAS DE LA COLINA","2","2","HERIDOS","NO APLICA","CHOQUE"
"2024 Jun 22 12:00:00 AM","A001651958","CALLE 23 N 19-16  - ARAGUANEY  LA PRIMAVERA","No registra","2","1","HERIDOS","NO APLICA","CHOQUE"
